wang , 114 , 100 , 100 , 100
Alice , 1 , 98 , 99 , 100
Ella , 45 , 95 , 98 , 97
Ella , 25 , 96 , 98 , 97
Isabella , 69 , 97 , 98 , 96
Olivia , 15 , 97 , 98 , 96
Olivia , 75 , 97 , 98 , 96
Ella , 85 , 95 , 98 , 97
Isabella , 49 , 97 , 98 , 96
Olivia , 35 , 97 , 98 , 96
Isabella , 89 , 97 , 98 , 96
Ella , 65 , 95 , 98 , 97
Olivia , 55 , 98 , 97 , 99
Sophia , 59 , 96 , 97 , 95
Sophia , 99 , 96 , 97 , 95
Sophia , 39 , 95 , 97 , 96
Sophia , 79 , 95 , 97 , 96
Sophia , 19 , 96 , 97 , 98
Isabella , 29 , 98 , 97 , 99
Olivia , 95 , 98 , 97 , 99
Emily , 5 , 95 , 96 , 98
Liam , 12 , 93 , 94 , 92
Noah , 14 , 90 , 92 , 89
Gabriella , 47 , 91 , 92 , 89
Gabriella , 87 , 91 , 92 , 89
Grace , 7 , 90 , 92 , 89
Liam , 32 , 94 , 92 , 96
Ivy , 9 , 94 , 92 , 96
Liam , 72 , 94 , 92 , 96
Ryan , 18 , 91 , 92 , 90
Gabriella , 27 , 91 , 92 , 89
Liam , 52 , 93 , 92 , 94
Gabriella , 67 , 91 , 92 , 89
Liam , 92 , 93 , 92 , 94
Ryan , 78 , 90 , 91 , 92
Ava , 21 , 89 , 91 , 88
Ava , 41 , 88 , 91 , 87
Ryan , 38 , 90 , 91 , 92
Benjamin , 42 , 93 , 91 , 94
Ava , 61 , 89 , 91 , 88
Ava , 81 , 88 , 91 , 87
Benjamin , 82 , 93 , 91 , 94
Nathan , 34 , 89 , 90 , 88
Nathan , 54 , 88 , 90 , 86
Benjamin , 22 , 92 , 90 , 93
Henry , 8 , 87 , 90 , 91
Benjamin , 62 , 92 , 90 , 94
Bob , 2 , 85 , 90 , 92
Ryan , 58 , 91 , 90 , 92
Nathan , 74 , 88 , 90 , 86
Nathan , 94 , 88 , 90 , 86
Ryan , 98 , 91 , 90 , 92
Maya , 73 , 84 , 88 , 82
Mia , 13 , 85 , 88 , 84
Chloe , 43 , 86 , 88 , 84
Maya , 53 , 85 , 88 , 84
Chloe , 83 , 86 , 88 , 84
Charlie , 3 , 92 , 88 , 95
Maya , 93 , 85 , 88 , 84
Maya , 33 , 84 , 88 , 82
Chloe , 63 , 86 , 88 , 84
Harrison , 88 , 85 , 87 , 83
Harrison , 28 , 85 , 87 , 82
Harrison , 48 , 85 , 87 , 83
Harrison , 68 , 85 , 87 , 83
Kaitlyn , 31 , 88 , 86 , 89
Kaitlyn , 71 , 89 , 86 , 90
Kelly , 11 , 88 , 86 , 90
Chloe , 23 , 87 , 86 , 88
Kaitlyn , 91 , 89 , 86 , 90
Quinn , 17 , 89 , 86 , 88
Kaitlyn , 51 , 89 , 86 , 90
Daniel , 84 , 83 , 85 , 81
Thomas , 40 , 83 , 85 , 81
Quinn , 57 , 87 , 85 , 88
Daniel , 44 , 83 , 85 , 81
Thomas , 60 , 83 , 85 , 81
Daniel , 24 , 83 , 85 , 82
Quinn , 77 , 88 , 85 , 90
Thomas , 20 , 83 , 85 , 80
Thomas , 80 , 83 , 85 , 81
David , 4 , 78 , 85 , 80
Quinn , 97 , 87 , 85 , 88
Daniel , 64 , 83 , 85 , 81
Quinn , 37 , 88 , 85 , 90
Thomas , 100 , 83 , 85 , 81
Finn , 26 , 80 , 82 , 78
Jack , 10 , 80 , 82 , 75
Finn , 66 , 80 , 82 , 78
Finn , 86 , 80 , 82 , 78
Finn , 46 , 80 , 82 , 78
Jacob , 30 , 82 , 80 , 84
Jacob , 70 , 82 , 80 , 84
Patrick , 36 , 81 , 80 , 84
Patrick , 16 , 82 , 80 , 84
Patrick , 96 , 82 , 80 , 84
Patrick , 56 , 82 , 80 , 84
Jacob , 50 , 82 , 80 , 84
Patrick , 76 , 81 , 80 , 84
Jacob , 90 , 82 , 80 , 84
Frank , 6 , 82 , 78 , 85
